No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
1,不可思議,5.4,1.02,7.2,1.327,80
2,不平,3.6,0.49,5.8,0.98,65
3,不甘,3.2,0.4,6.4,0.8,31
4,不安,3.8,0.4,5.4,0.49,184
5,不利,3.6,0.49,5.6,0.8,158
6,不足,4.2,0.4,4.2,1.166,692
7,不定,4.2,0.4,3.8,0.98,66
8,不宜,3.8,0.748,4.4,1.356,133
9,不幸,2.6,0.49,6,1.549,282
10,不拘小節,6.4,0.49,4.2,1.72,5
11,不服,3.4,0.49,6.6,0.49,42
12,不知所措,3.2,0.748,6.2,1.327,31
13,不便,4,0,4.4,1.497,160
14,不耐,4,0,4.4,1.625,21
15,不耐煩,3.6,0.8,6,1.095,37
16,不准,3.6,0.49,6.2,0.98,66
17,不屑,3,0.632,6,1.265,27
18,不悅,3.2,1.166,6,1.265,19
19,不爽,2.8,1.166,7.2,0.4,0
20,不祥,2.8,0.4,5.2,1.166,20
21,不符,3.8,0.4,4,1.789,70
22,不順,3.6,0.49,4.6,1.02,0
23,不當,3.4,0.8,5.6,1.2,178
24,不解,4.2,0.4,4.2,1.47,91
25,不滿,3.2,0.748,6.4,0.8,349
26,不適,3.6,0.49,4.6,1.356,45
27,正,6.6,0.49,5,1.673,2573
28,多餘,4,0,4,1.549,74
29,好,6.8,0.4,5.2,0.4,8304
30,否定,3.4,0.49,5.4,1.356,153
31,否認,3.6,0.49,5.2,1.166,190
32,足夠,5.8,0.4,4,1.265,280
33,肯定,6.8,0.748,6,0.632,669
34,哇,6,0.894,6.6,0.49,174
35,哎呀,4.8,0.4,6.8,0.4,103
36,恰好,6.4,0.49,5,0.632,56
37,耶,7.2,1.166,7.2,1.166,229
38,單獨,4.4,0.8,3.6,1.2,87
39,無力,3.2,0.748,3.6,1.96,75
40,無足輕重,4.4,0.49,4,1.414,7
41,無情,2.6,1.02,5.8,2.4,79
42,無理,2.6,1.02,6.8,1.166,22
43,無暇,3.6,1.356,5.6,1.2,20
44,無趣,3.4,0.8,5.2,0.98,20
45,無禮,2.8,0.98,7,1.095,15
46,想,5.2,0.4,3.6,1.497,5898
47,過分,2.8,0.748,6.8,0.4,49
48,對,6.4,0.49,4.8,1.327,13944
49,認真,7,0.632,5,1.265,287
50,嘻,6.6,0.8,5.8,0.98,8
51,嘻嘻,7,1.095,6.2,0.748,25
52,隨便,4.2,0.98,5.2,0.4,203
53,隨意,5.6,0.49,4.2,0.98,133
54,豐富,6.8,0.748,5.6,1.02,674
55,願意,6.8,0.748,5,1.414,879
56,小心,4.6,1.02,6,0.894,435
57,分享,6.8,0.748,4.6,1.02,262
58,支持,7.2,0.4,5,1.789,966
59,支撐,5.6,1.02,5.6,1.855,117
60,付出,5.8,0.98,5.6,1.356,306
61,失去,3.2,0.4,6.4,1.356,563
62,失敗,2.2,1.166,7.2,1.166,323
63,打,3.2,0.748,6.6,0.8,1448
64,同意,6.4,0.49,4.4,1.2,598
65,成功,8.2,0.748,6.6,0.49,0
66,死,1.2,0.4,5,3.033,974
67,吸引,6,0.632,6.2,1.327,560
68,希望,7,0.632,5.2,1.72,3365
69,忘記,4,0.632,4.6,0.49,237
70,協助,6.6,0.49,4.6,1.02,830
71,抱,5.8,0.748,5.2,1.6,219
72,玩,5.6,1.497,5.8,0.98,896
73,信任,7.8,0.748,5.8,1.47,207
74,相信,7.2,0.98,5.4,1.356,1147
75,討厭,2.6,0.49,6.6,0.49,148
76,貢獻,7.4,1.02,5.6,1.02,302
77,逃避,3,0,6,0.632,148
78,喜愛,7.2,0.4,6.2,0.98,275
79,喜歡,7,0.632,5.8,0.98,1993
80,喪失,2.6,0.49,5.8,1.6,196
81,期望,6,0,5.2,1.166,226
82,答應,5.8,0.748,5,1.897,234
83,幹,1,0,8.8,0.4,199
84,愛,8.2,0.748,5.4,2.939,1553
85,愛好,7,0,5.6,1.2,108
86,感謝,7.4,0.49,5.6,1.744,243
87,損失,3.2,0.4,5.2,0.4,208
88,經歷,5,0,4.8,0.98,267
89,遇到,5,0,4.2,0.98,408
90,遊戲,5.8,1.166,4.8,1.72,478
