,Word,V_normalization,A_normalization
0,不可思議,0.55,0.78
1,不平,0.33,0.6
2,不甘,0.28,0.68
3,不安,0.35,0.55
4,不利,0.33,0.57
5,不足,0.4,0.4
6,不定,0.4,0.35
7,不宜,0.35,0.43
8,不幸,0.2,0.62
9,不拘小節,0.68,0.4
10,不服,0.3,0.7
11,不知所措,0.28,0.65
12,不便,0.38,0.43
13,不耐,0.38,0.43
14,不耐煩,0.33,0.62
15,不准,0.33,0.65
16,不屑,0.25,0.62
17,不悅,0.28,0.62
18,不爽,0.22,0.78
19,不祥,0.22,0.53
20,不符,0.35,0.38
21,不順,0.33,0.45
22,不當,0.3,0.57
23,不解,0.4,0.4
24,不滿,0.28,0.68
25,不適,0.33,0.45
26,正,0.7,0.5
27,多餘,0.38,0.38
28,好,0.72,0.53
29,否定,0.3,0.55
30,否認,0.33,0.53
31,足夠,0.6,0.38
32,肯定,0.72,0.62
33,哇,0.62,0.7
34,哎呀,0.47,0.72
35,恰好,0.68,0.5
36,耶,0.78,0.78
37,單獨,0.43,0.33
38,無力,0.28,0.33
39,無足輕重,0.43,0.38
40,無情,0.2,0.6
41,無理,0.2,0.72
42,無暇,0.33,0.57
43,無趣,0.3,0.53
44,無禮,0.22,0.75
45,想,0.53,0.33
46,過分,0.22,0.72
47,對,0.68,0.47
48,認真,0.75,0.5
49,嘻,0.7,0.6
50,嘻嘻,0.75,0.65
51,隨便,0.4,0.53
52,隨意,0.57,0.4
53,豐富,0.72,0.57
54,願意,0.72,0.5
55,小心,0.45,0.62
56,分享,0.72,0.45
57,支持,0.78,0.5
58,支撐,0.57,0.57
59,付出,0.6,0.57
60,失去,0.28,0.68
61,失敗,0.15,0.78
62,打,0.28,0.7
63,同意,0.68,0.43
64,成功,0.9,0.7
65,死,0.02,0.5
66,吸引,0.62,0.65
67,希望,0.75,0.53
68,忘記,0.38,0.45
69,協助,0.7,0.45
70,抱,0.6,0.53
71,玩,0.57,0.6
72,信任,0.85,0.6
73,相信,0.78,0.55
74,討厭,0.2,0.7
75,貢獻,0.8,0.57
76,逃避,0.25,0.62
77,喜愛,0.78,0.65
78,喜歡,0.75,0.6
79,喪失,0.2,0.6
80,期望,0.62,0.53
81,答應,0.6,0.5
82,幹,0.0,0.98
83,愛,0.9,0.55
84,愛好,0.75,0.57
85,感謝,0.8,0.57
86,損失,0.28,0.53
87,經歷,0.5,0.47
88,遇到,0.5,0.4
89,遊戲,0.6,0.47
90,鼓勵,0.75,0.65
91,適合,0.57,0.35
92,擔心,0.3,0.7
93,輸,0.25,0.43
94,錯過,0.33,0.43
95,幫忙,0.68,0.5
96,幫助,0.7,0.57
97,應付,0.4,0.55
98,謝謝,0.7,0.6
99,懷念,0.62,0.57
100,關心,0.68,0.62
101,關懷,0.72,0.68
102,贏,0.78,0.75
103,贏得,0.8,0.75
104,下流,0.15,0.82
105,王八蛋,0.05,0.95
106,他媽的,0.05,0.93
107,白目,0.15,0.78
108,白癡,0.15,0.8
109,呸,0.17,0.8
110,垃圾,0.15,0.8
111,怪胎,0.17,0.75
112,放屁,0.2,0.75
113,狗屁,0.17,0.82
114,淫婦,0.1,0.85
115,混蛋,0.12,0.88
116,笨蛋,0.25,0.57
117,媽的,0.15,0.82
118,愚蠢,0.22,0.62
119,該死,0.2,0.82
120,賤,0.15,0.78
121,賤人,0.12,0.85
122,賤貨,0.1,0.9
123,操,0.12,0.88
124,蕩婦,0.1,0.85
125,蹩腳,0.33,0.53
126,壞蛋,0.25,0.68
127,爛貨,0.15,0.72
128,白痴,0.17,0.68
129,八卦,0.3,0.45
130,仇人,0.15,0.78
131,仇恨,0.15,0.85
132,仇敵,0.12,0.82
133,分擔,0.57,0.43
134,友,0.68,0.4
135,反駁,0.35,0.68
136,打岔,0.35,0.4
137,打架,0.2,0.82
138,打斷,0.38,0.45
